# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu-clock:pppH'
# Event count (approx.): 1847250000
#
# Overhead  Command        Shared Object      Symbol                           
# ........  .............  .................  .................................
#
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f16479
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f16645
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f16647
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f1664c
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f166d7
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f166e0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f166f6
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f16727
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f16737
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f247e3
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f24a81
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f24cd4
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f24fb3
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f26757
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f27009
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f27160
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f271db
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f27261
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f3154e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f31da4
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f3e590
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f410de
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f410e4
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f41123
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4357d
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4358c
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f435b1
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f44c82
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f44c93
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f44c98
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f44cd0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45afb
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45b1b
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45b37
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45b99
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45bc4
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45e20
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45eba
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f45ec7
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f46d2d
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f47250
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f47256
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f47305
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f475d0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f475d7
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f47b6a
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f47fe0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f48019
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4801d
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4808b
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f48096
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f480ac
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f49dfe
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f49e14
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f49e24
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4a010
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4a066
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7f4a069
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb803e5fc
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8042d56
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8042d5e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8042d74
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8042d79
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb80f63d5
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb813e51c
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb813e532
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb82763e3
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5694
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c577b
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c57c1
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5867
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5d05
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5f78
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5f9e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5fab
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c5fe5
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c600e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c6026
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c65b3
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c68c3
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c6bb0
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c6e3e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c6f4a
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c7647
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c77d3
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c7c54
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c7c8b
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c8980
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c92ab
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9824
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c99b2
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9d60
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9d61
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9d65
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9d84
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9d8d
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9e49
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9e55
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9e7e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9ea1
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85c9ecd
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85cd96c
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85ce4ef
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85ce561
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85d0070
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85d02ac
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85d0e80
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e3f86
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8634070
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb863df00
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb864542e
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb864543b
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8645480
     0.01%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb86458ec


#
# (Tip: Compare performance results with: perf diff [<old file> <new file>])
#
